Vertices,25%,40%,65%,85%,100%,Media
10,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
100,0.001000000,0.001000000,0.000000000,0.000000000,0.000000000,0.000400000
300,0.000000000,0.001000000,0.001000000,0.001000000,0.000000000,0.000600000
500,0.002000000,0.003000000,0.002000000,0.001000000,0.001000000,0.001800000
750,0.006000000,0.010000000,0.006000000,0.008000000,0.000000000,0.006000000
1000,0.008000000,0.009000000,0.009000000,0.005000000,0.003000000,0.006800000
1500,0.016000000,0.020000000,0.019000000,0.011000000,0.002000000,0.013600000
2500,0.049000000,0.058000000,0.051000000,0.035000000,0.015000000,0.041600000
